index,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,datetime
2,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,2024-05-01
3,33,entrepreneur,married,secondary,no,2,yes,yes,cellular,19,nov,17,5,198,1,failure,no,2024-11-01
4,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,2024-05-01
5,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,2024-05-01
17,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,2024-05-01
22,33,services,married,secondary,no,0,yes,no,unknown,26,may,192,6,-1,0,unknown,no,2024-05-01
37,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,2024-05-01
49,37,admin.,single,secondary,no,0,yes,no,cellular,16,apr,640,2,-1,0,unknown,no,2024-04-01
52,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,2024-05-01
56,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,2024-05-01
59,44,technician,married,secondary,no,0,yes,no,cellular,24,jul,157,1,-1,0,unknown,no,2024-07-01
60,44,technician,married,secondary,no,0,yes,no,cellular,18,nov,205,1,-1,0,unknown,no,2024-11-01
69,29,management,single,tertiary,no,0,yes,no,cellular,13,may,155,1,351,1,failure,no,2024-05-01
71,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,2024-05-01
74,32,management,married,tertiary,no,0,yes,no,unknown,21,may,91,1,-1,0,unknown,no,2024-05-01
88,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no,2024-05-01
96,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no,2024-05-01
105,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no,2024-05-01
129,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no,2024-05-01
132,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no,2024-05-01
133,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no,2024-05-01
137,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no,2024-05-01
144,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no,2024-05-01
147,57,technician,married,primary,no,0,no,no,cellular,16,jul,214,1,-1,0,unknown,no,2024-07-01
151,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,2024-05-01
158,31,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,134,1,-1,0,unknown,no,2024-05-01
163,32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no,2024-05-01
168,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no,2024-05-01
171,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no,2024-05-01
174,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no,2024-05-01
177,37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no,2024-05-01
