index,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,datetime
10785,41,management,married,tertiary,no,140,yes,no,unknown,5,jun,65,3,-1,0,unknown,no,2024-06-01
7541,45,unemployed,married,primary,no,180,yes,yes,unknown,27,may,62,2,-1,0,unknown,no,2024-05-01
6850,34,unemployed,married,secondary,no,200,yes,no,unknown,26,may,155,6,-1,0,unknown,no,2024-05-01
37436,22,admin.,single,tertiary,no,897,yes,no,cellular,4,feb,133,4,-1,0,unknown,yes,2024-02-01
51454,55,technician,divorced,secondary,no,3450,no,no,cellular,11,aug,110,1,-1,0,unknown,no,2024-08-01
26610,42,management,single,tertiary,yes,0,no,yes,cellular,21,aug,384,5,-1,0,unknown,no,2024-08-01
4445,24,services,single,secondary,no,-248,yes,no,unknown,16,may,187,1,-1,0,unknown,no,2024-05-01
26989,34,technician,married,secondary,no,260,yes,no,cellular,22,aug,142,2,-1,0,unknown,no,2024-08-01
34814,58,admin.,married,unknown,no,903,no,no,cellular,28,jan,56,1,-1,0,unknown,no,2024-01-01
13301,56,retired,married,secondary,yes,101,no,yes,unknown,19,jun,330,1,-1,0,unknown,no,2024-06-01
27277,40,technician,married,tertiary,no,1207,no,no,cellular,22,aug,105,3,-1,0,unknown,no,2024-08-01
4488,44,services,married,secondary,no,0,yes,yes,unknown,16,may,471,2,-1,0,unknown,no,2024-05-01
50632,26,student,single,tertiary,no,0,no,no,cellular,15,jun,41,2,-1,0,unknown,no,2024-06-01
21986,44,technician,married,primary,no,755,no,yes,cellular,31,jul,829,4,-1,0,unknown,yes,2024-07-01
12392,37,admin.,single,tertiary,no,12581,no,no,unknown,16,jun,155,4,-1,0,unknown,no,2024-06-01
22449,30,technician,single,tertiary,no,97,no,no,cellular,4,aug,417,1,-1,0,unknown,no,2024-08-01
38048,36,management,married,tertiary,no,190,yes,no,cellular,5,feb,217,1,-1,0,unknown,no,2024-02-01
51534,27,student,single,tertiary,no,5291,no,no,cellular,11,feb,293,1,91,4,success,yes,2024-02-01
47703,31,management,single,tertiary,no,0,yes,yes,cellular,14,may,117,3,352,3,failure,no,2024-05-01
8296,55,management,married,tertiary,no,0,no,no,cellular,22,aug,64,2,-1,0,unknown,no,2024-08-01
5887,34,management,single,tertiary,no,2412,yes,no,unknown,21,may,154,2,-1,0,unknown,no,2024-05-01
2086,39,blue-collar,single,secondary,no,217,yes,no,unknown,9,may,107,1,-1,0,unknown,no,2024-05-01
37082,28,technician,single,secondary,no,525,no,no,cellular,3,feb,176,2,-1,0,unknown,no,2024-02-01
42569,60,housemaid,married,primary,no,1163,no,no,cellular,30,apr,470,8,-1,0,unknown,yes,2024-04-01
11066,46,technician,married,secondary,no,0,no,no,unknown,6,jun,186,2,-1,0,unknown,no,2024-06-01
35129,53,housemaid,married,secondary,no,637,no,no,cellular,28,jan,150,2,-1,0,unknown,no,2024-01-01
57145,61,self-employed,married,tertiary,no,10861,no,no,cellular,25,oct,225,1,91,5,success,yes,2024-10-01
40394,32,housemaid,divorced,secondary,no,-613,yes,no,cellular,15,apr,266,2,-1,0,unknown,no,2024-04-01
43083,34,management,single,tertiary,no,14,yes,no,telephone,4,may,47,1,-1,0,unknown,no,2024-05-01
39163,41,management,single,tertiary,no,203,no,no,cellular,5,mar,90,2,-1,0,unknown,no,2024-03-01
16608,43,blue-collar,married,secondary,no,500,yes,no,cellular,14,jul,324,2,-1,0,unknown,no,2024-07-01
47571,51,management,divorced,tertiary,no,-256,yes,yes,cellular,14,may,97,1,-1,0,unknown,no,2024-05-01
33917,39,unknown,single,unknown,no,2822,no,no,cellular,21,nov,573,3,-1,0,unknown,no,2024-11-01
44774,38,technician,married,secondary,no,2000,yes,no,cellular,7,may,198,2,-1,0,unknown,no,2024-05-01
1741,39,unemployed,divorced,secondary,no,6322,no,no,unknown,8,may,184,1,-1,0,unknown,no,2024-05-01
2621,48,blue-collar,single,primary,no,396,yes,no,unknown,12,may,194,3,-1,0,unknown,no,2024-05-01
27563,46,blue-collar,married,primary,no,575,no,no,cellular,25,aug,129,3,-1,0,unknown,no,2024-08-01
6545,30,blue-collar,married,secondary,no,2150,yes,no,unknown,23,may,465,4,-1,0,unknown,no,2024-05-01
43117,32,student,single,tertiary,no,214,no,no,cellular,4,may,117,1,-1,0,unknown,no,2024-05-01
39375,37,blue-collar,married,primary,no,623,no,no,cellular,26,mar,267,2,-1,0,unknown,no,2024-03-01
55704,33,management,single,tertiary,no,4176,no,no,cellular,26,mar,288,3,-1,0,unknown,yes,2024-03-01
46899,41,blue-collar,married,secondary,no,121,yes,no,cellular,13,may,16,6,176,5,other,no,2024-05-01
47701,32,blue-collar,married,secondary,no,169,yes,no,cellular,14,may,291,2,-1,0,unknown,no,2024-05-01
53064,70,retired,married,secondary,no,1310,no,no,cellular,14,apr,318,1,181,1,failure,no,2024-04-01
21803,43,self-employed,married,secondary,no,5317,no,no,cellular,31,jul,244,2,-1,0,unknown,no,2024-07-01
41642,24,blue-collar,married,secondary,no,1222,yes,no,cellular,20,apr,369,1,-1,0,unknown,no,2024-04-01
24590,48,management,married,secondary,no,286,no,no,cellular,12,aug,127,1,-1,0,unknown,no,2024-08-01
39753,33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure,no,2024-04-01
3449,44,self-employed,divorced,secondary,no,80,yes,yes,unknown,14,may,387,2,-1,0,unknown,no,2024-05-01
22598,41,management,married,tertiary,no,1391,no,no,cellular,5,aug,537,1,-1,0,unknown,no,2024-08-01
48463,36,blue-collar,married,primary,no,49,yes,no,cellular,15,may,232,2,365,5,other,no,2024-05-01
19112,31,admin.,married,secondary,no,-241,yes,no,cellular,22,jul,1287,5,-1,0,unknown,no,2024-07-01
16782,50,technician,married,secondary,no,85,no,no,cellular,14,jul,130,3,-1,0,unknown,no,2024-07-01
2558,39,admin.,single,secondary,no,496,yes,no,unknown,12,may,788,2,-1,0,unknown,no,2024-05-01
