Success,Expectation Type,Column,Column Pair,Max Value,Min Value,Element Count,Unexpected Count,Unexpected Percent,Value Set,Unexpected Value,Observed Value
True,expect_column_to_exist,merchant,"('', '')",,,,,,,[],
True,expect_column_values_to_not_be_null,merchant,"('', '')",,,18153,0,0.0,,[],
True,expect_column_values_to_be_in_set,merchant,"('', '')",,,18153,0,0.0,"['fraud_Deckow-Dare', 'fraud_Goldner, Kovacek and Abbott', 'fraud_Schmeler Inc', 'fraud_Schoen, Kuphal and Nitzsche', 'fraud_Kozey-McDermott', 'fraud_Heathcote LLC', 'fraud_Stracke-Lemke', 'fraud_Emard Inc', 'fraud_Kunze, Larkin and Mayert', 'fraud_Roob, Conn and Tremblay', 'fraud_McCullough, Hudson and Schuster', 'fraud_Ruecker Group', 'fraud_Koelpin and Sons', 'fraud_Dickinson Ltd', 'fraud_Bednar Group', 'fraud_Morar Inc', 'fraud_Hills-Boyer', 'fraud_Block Group', 'fraud_Kassulke Inc', 'fraud_Rippin-VonRueden', 'fraud_Stiedemann Ltd', 'fraud_Romaguera Ltd', 'fraud_McLaughlin, Armstrong and Koepp', 'fraud_Kutch-Wilderman', 'fraud_Corwin-Romaguera', 'fraud_Gerlach Inc', 'fraud_Heaney-Marquardt', 'fraud_Kovacek Ltd', ""fraud_O'Connell, Botsford and Hand"", 'fraud_Moore, Williamson and Emmerich', 'fraud_Wiza, Schaden and Stark', 'fraud_Hickle Group', 'fraud_Leannon-Nikolaus', 'fraud_Schoen Ltd', 'fraud_Welch Inc', 'fraud_Kozey-Kuhlman', 'fraud_Effertz LLC', 'fraud_Predovic Inc', 'fraud_Dietrich-Fadel', 'fraud_Haley, Jewess and Bechtelar', 'fraud_Lemke and Sons', 'fraud_Kuhn Group', 'fraud_Kulas Group', 'fraud_Quitzon-Goyette', 'fraud_Lubowitz-Walter', 'fraud_Windler, Goodwin and Kovacek', 'fraud_Rau and Sons', 'fraud_Durgan, Gislason and Spencer', 'fraud_Fadel, Mertz and Rippin', 'fraud_Welch, Rath and Koepp', 'fraud_Beer-Jast', 'fraud_Ullrich Ltd', 'fraud_Zboncak, Rowe and Murazik', 'fraud_Koss, Hansen and Lueilwitz', 'fraud_Daugherty, Pouros and Beahan', 'fraud_Lynch-Wisozk', 'fraud_Stehr, Jewess and Schimmel', 'fraud_Connelly, Reichert and Fritsch', 'fraud_Hintz-Bruen', 'fraud_Klein Group', 'fraud_Collier Inc', 'fraud_Zboncak LLC', 'fraud_Bahringer Group', 'fraud_Mante Group', 'fraud_Baumbach, Feeney and Morar', 'fraud_Dach-Borer', 'fraud_Johnson, Runolfsdottir and Mayer', 'fraud_Daugherty-Thompson', 'fraud_Pacocha-Weissnat', 'fraud_Gleason-Macejkovic', 'fraud_Reichel Inc', 'fraud_Christiansen, Goyette and Schamberger', 'fraud_McDermott-Weimann', 'fraud_Gibson-Deckow', 'fraud_Lehner, Reichert and Mills', 'fraud_Metz-Boehm', 'fraud_Bailey-Morar', 'fraud_Casper, Hand and Zulauf', 'fraud_Kovacek, Dibbert and Ondricka', 'fraud_Lehner, Mosciski and King', 'fraud_Ferry, Reichel and DuBuque', 'fraud_Mohr-Bayer', 'fraud_Gutmann-Upton', 'fraud_Hoppe, Harris and Bednar', 'fraud_Gottlieb Group', 'fraud_Stamm-Rodriguez', 'fraud_Graham and Sons', 'fraud_Leffler-Goldner', 'fraud_Waelchi Inc', 'fraud_Mante, Luettgen and Hackett', 'fraud_Bernier, Volkman and Hoeger', 'fraud_Auer-West', 'fraud_VonRueden Group', 'fraud_Hagenes, Hermann and Stroman', 'fraud_Rutherford-Mertz', 'fraud_Kling-Grant', 'fraud_Barton LLC', 'fraud_Erdman-Schaden', 'fraud_Langosh, Wintheiser and Hyatt', 'fraud_Rutherford, Homenick and Bergstrom', 'fraud_Tillman, Fritsch and Schmitt', 'fraud_Zieme, Bode and Dooley', 'fraud_Ebert-Daugherty', 'fraud_Koss, McLaughlin and Mayer', 'fraud_Turcotte-Halvorson', 'fraud_McDermott, Osinski and Morar', 'fraud_Botsford Ltd', 'fraud_Eichmann-Russel', 'fraud_Kunde-Sanford', 'fraud_Pouros-Conroy', 'fraud_Hills-Witting', 'fraud_Hills-Olson', 'fraud_Reichert-Weissnat', 'fraud_Volkman PLC', 'fraud_Nienow, Barrows and Romaguera', ""fraud_O'Keefe-Hudson"", 'fraud_Dooley-Thompson', 'fraud_Homenick LLC', 'fraud_Terry Ltd', 'fraud_Zboncak Ltd', 'fraud_Jast Ltd', 'fraud_Bahringer-Larson', 'fraud_Kuphal-Toy', 'fraud_Dibbert-Green', ""fraud_Friesen-D'Amore"", 'fraud_Adams, Kovacek and Kuhlman', 'fraud_Towne, Walker and Borer', 'fraud_Torp-Lemke', 'fraud_Fisher-Schowalter', 'fraud_Jakubowski Inc', 'fraud_Streich, Hansen and Veum', 'fraud_Turcotte, Batz and Buckridge', 'fraud_Abbott-Rogahn', 'fraud_Douglas, Schneider and Turner', 'fraud_Rempel PLC', 'fraud_Tromp Group', 'fraud_Wilkinson LLC', 'fraud_Bode-Schuster', 'fraud_Conroy-Emard', 'fraud_Mosciski, Ziemann and Farrell', 'fraud_Bradtke PLC', 'fraud_Shields-Wunsch', 'fraud_Greenfelder, Bartoletti and Davis', 'fraud_Hamill-Daugherty', 'fraud_Kuhic LLC', 'fraud_Armstrong, Walter and Gottlieb', 'fraud_Harris Inc', 'fraud_Terry-Huel', 'fraud_Schmeler, Bashirian and Price', 'fraud_Nolan-Williamson', 'fraud_Schmidt-Larkin', ""fraud_Hamill-D'Amore"", 'fraud_Simonis-Prohaska', 'fraud_Kuphal-Bartoletti', 'fraud_Barton Inc', 'fraud_Schiller, Blanda and Johnson', 'fraud_Stark-Batz', 'fraud_Breitenberg-Hermiston', 'fraud_Friesen Inc', 'fraud_Mayert Group', 'fraud_Trantow PLC', 'fraud_Cartwright-Harris', 'fraud_Reilly, Heaney and Cole', 'fraud_Pollich LLC', 'fraud_Schaefer, Maggio and Daugherty', 'fraud_Kihn, Brakus and Goyette', 'fraud_Little, Gutmann and Lynch', 'fraud_Kautzer and Sons', 'fraud_Hettinger, McCullough and Fay', 'fraud_Bode-Rempel', 'fraud_Erdman-Ebert', 'fraud_Reynolds-Schinner', 'fraud_Schiller Ltd', 'fraud_Ruecker-Mayert', 'fraud_Block-Parisian', 'fraud_Tillman LLC', 'fraud_Parisian, Schiller and Altenwerth', 'fraud_Mraz-Herzog', 'fraud_Sawayn PLC', 'fraud_Yost, Block and Koepp', 'fraud_Langworth, Boehm and Gulgowski', 'fraud_Okuneva, Schneider and Rau', 'fraud_McCullough LLC', 'fraud_Wuckert-Goldner', 'fraud_Hermiston, Russel and Price', 'fraud_Friesen-Ortiz', 'fraud_Hilpert-Conroy', 'fraud_Collier LLC', 'fraud_Murray Ltd', 'fraud_Kemmer-Buckridge', 'fraud_Fisher Inc', 'fraud_Hudson-Grady', 'fraud_Kemmer-Reinger', 'fraud_Hauck, Dietrich and Funk', 'fraud_Stark-Koss', 'fraud_Monahan-Morar', 'fraud_Hills, Hegmann and Schaefer', 'fraud_Denesik and Sons', 'fraud_Swaniawski, Nitzsche and Welch', 'fraud_Medhurst, Cartwright and Ebert', 'fraud_Klocko, Runolfsdottir and Breitenberg', 'fraud_Fritsch and Sons', 'fraud_Howe Ltd', 'fraud_Bernhard-Lesch', 'fraud_Cummerata-Hilpert', 'fraud_Kozey-Boehm', 'fraud_Ferry, Lynch and Kautzer', 'fraud_Crooks and Sons', 'fraud_Pouros, Walker and Spencer', 'fraud_Schroeder, Wolff and Hermiston', 'fraud_Pagac LLC', 'fraud_Sporer Inc', 'fraud_Schuppe, Nolan and Hoeger', 'fraud_Skiles LLC', 'fraud_Luettgen PLC', 'fraud_Robel, Cummerata and Prosacco', 'fraud_Ritchie, Bradtke and Stiedemann', 'fraud_Torphy-Goyette', 'fraud_Bartoletti and Sons', 'fraud_Hackett Group', ""fraud_O'Reilly, Mohr and Purdy"", 'fraud_Howe PLC', 'fraud_Williamson LLC', 'fraud_Rau-Robel', 'fraud_Koepp-Witting', 'fraud_Berge, Kautzer and Harris', 'fraud_Emmerich-Rau', 'fraud_Spinka Inc', 'fraud_Rodriguez, Yost and Jenkins', 'fraud_Will Ltd', 'fraud_Kerluke PLC', 'fraud_Schoen, Nienow and Bauch', 'fraud_Gleason and Sons', 'fraud_Kub-Heaney', 'fraud_Bauch-Blanda', 'fraud_Gerhold LLC', 'fraud_Funk Group', 'fraud_Larson-Moen', 'fraud_Dare, Casper and Bartoletti', 'fraud_Hermiston, Pacocha and Smith', 'fraud_Jones, Sawayn and Romaguera', 'fraud_Shields Inc', 'fraud_Terry, Johns and Bins', 'fraud_Swaniawski, Bahringer and Ledner', 'fraud_Goodwin-Nitzsche', 'fraud_Morissette, Weber and Wiegand', 'fraud_Harris Group', 'fraud_Dach-Nader', 'fraud_Roberts, Ryan and Smith', 'fraud_Cormier, Stracke and Thiel', 'fraud_Dare, Fritsch and Zboncak', 'fraud_Bins-Tillman', 'fraud_Streich, Rolfson and Wilderman', 'fraud_Hodkiewicz, Prohaska and Paucek', 'fraud_Monahan, Hermann and Johns', 'fraud_Effertz, Welch and Schowalter', 'fraud_Pouros-Haag', 'fraud_Donnelly PLC', 'fraud_Zemlak Group', 'fraud_Boyer PLC', 'fraud_Romaguera, Cruickshank and Greenholt', 'fraud_Reichert, Rowe and Mraz', 'fraud_Price Inc', 'fraud_Eichmann, Hayes and Treutel', 'fraud_Kling-Ernser', 'fraud_Turcotte, McKenzie and Koss', 'fraud_Bins-Howell', 'fraud_Kling, Howe and Schneider', 'fraud_Lowe, Dietrich and Erdman', 'fraud_Lebsack and Sons', 'fraud_Hoppe-Parisian', ""fraud_O'Keefe-Wisoky"", 'fraud_Smith-Stokes', 'fraud_Halvorson Group', 'fraud_Baumbach Ltd', 'fraud_Gislason Group', 'fraud_Yost-Rogahn', 'fraud_Wuckert-Walter', 'fraud_Olson, Becker and Koch', 'fraud_Kilback Group', 'fraud_Fritsch LLC', 'fraud_Kutch LLC', 'fraud_Osinski Inc', 'fraud_Hudson-Ratke', 'fraud_Prosacco, Kreiger and Kovacek', 'fraud_Goyette-Herzog', 'fraud_Frami Group', 'fraud_Padberg-Sauer', 'fraud_Schmidt and Sons', 'fraud_Pacocha-Bauch', 'fraud_Sporer-Keebler', 'fraud_Huel-Langworth', 'fraud_Rippin, Kub and Mann', 'fraud_Larson, Quitzon and Spencer', 'fraud_Dooley Inc', 'fraud_Strosin-Cruickshank', 'fraud_Little-Gleichner', 'fraud_Bahringer-Streich', 'fraud_Crona and Sons', 'fraud_Tillman, Dickinson and Labadie', 'fraud_Bernier and Sons', 'fraud_Kuhic, Bins and Pfeffer', 'fraud_Christiansen-Gusikowski', 'fraud_Flatley-Durgan', 'fraud_Fahey Inc', 'fraud_Gaylord-Powlowski', 'fraud_Crist, Jakubowski and Littel', 'fraud_Watsica LLC', 'fraud_Brown Inc', 'fraud_Goyette Inc', 'fraud_Powlowski-Weimann', 'fraud_Berge-Hills', 'fraud_Schaefer, McGlynn and Bosco', 'fraud_Kerluke, Kertzmann and Wiza', 'fraud_Reinger, Weissnat and Strosin', 'fraud_Champlin, Rolfson and Connelly', 'fraud_White and Sons', 'fraud_Runolfsdottir, Mueller and Hand', 'fraud_Bahringer, Schoen and Corkery', ""fraud_O'Hara-Wilderman"", 'fraud_Altenwerth-Kilback', 'fraud_Baumbach, Hodkiewicz and Walsh', 'fraud_Swaniawski, Lowe and Robel', 'fraud_Cummings Group', 'fraud_Schultz, Simonis and Little', 'fraud_Bernhard Inc', 'fraud_Miller-Harris', 'fraud_Thiel Ltd', 'fraud_Streich, Dietrich and Barton', 'fraud_Stoltenberg-Beatty', 'fraud_Marks Inc', 'fraud_Heidenreich PLC', 'fraud_Moore, Dibbert and Koepp', 'fraud_Cormier LLC', 'fraud_Schumm, Bauch and Ondricka', 'fraud_Miller-Hauck', 'fraud_McGlynn-Jaskolski', 'fraud_Dare-Gibson', 'fraud_Reilly LLC', 'fraud_Koss and Sons', 'fraud_Schumm PLC', 'fraud_Lesch Ltd', ""fraud_Deckow-O'Conner"", 'fraud_Larkin Ltd', 'fraud_Carroll PLC', 'fraud_Turner, Ruecker and Parisian', 'fraud_Dibbert and Sons', 'fraud_McGlynn-Heathcote', 'fraud_Kuhn LLC', 'fraud_Padberg-Rogahn', 'fraud_Roob LLC', 'fraud_Kiehn-Emmerich', 'fraud_Botsford PLC', 'fraud_Ziemann-Waters', 'fraud_Douglas-White', 'fraud_Osinski, Ledner and Leuschke', 'fraud_Waelchi-Wolf', 'fraud_Cole, Hills and Jewess', ""fraud_Greenholt, O'Hara and Balistreri"", 'fraud_Spencer PLC', 'fraud_Schneider, Hayes and Nikolaus', 'fraud_Metz, Russel and Metz', 'fraud_Erdman-Durgan', 'fraud_Bahringer, Bergnaum and Quitzon', 'fraud_Conroy Ltd', 'fraud_Romaguera and Sons', 'fraud_Roberts-Beahan', 'fraud_Huels-Nolan', 'fraud_Johns Inc', 'fraud_Vandervort-Funk', 'fraud_Herman, Treutel and Dickens', 'fraud_Rempel Inc', 'fraud_Ledner, Hartmann and Feest', 'fraud_Spinka-Welch', 'fraud_Huel Ltd', 'fraud_Hammes-Beatty', 'fraud_Haley, Batz and Auer', 'fraud_Block-Hauck', 'fraud_Mohr Inc', 'fraud_Schaefer, Fay and Hilll', 'fraud_Wiegand-Lowe', 'fraud_Doyle Ltd', 'fraud_Wintheiser, Dietrich and Schimmel', 'fraud_Ritchie, Oberbrunner and Cremin', 'fraud_Klocko LLC', 'fraud_Kassulke PLC', 'fraud_Jakubowski Group', 'fraud_Witting, Beer and Ernser', 'fraud_Kessler Group', 'fraud_Baumbach, Strosin and Nicolas', 'fraud_Kessler Inc', 'fraud_Bogisich Inc', 'fraud_Renner Ltd', 'fraud_Cole PLC', 'fraud_Koepp-Parker', 'fraud_Parker, Nolan and Trantow', 'fraud_Dicki Ltd', 'fraud_Kihn Inc', 'fraud_Hermann-Gaylord', 'fraud_Haley Group', 'fraud_Nitzsche, Kessler and Wolff', 'fraud_Abernathy and Sons', 'fraud_Runte, Green and Emard', 'fraud_Heathcote, Yost and Kertzmann', 'fraud_Morissette LLC', 'fraud_Schmeler-Howe', 'fraud_Becker, Harris and Harvey', 'fraud_Kerluke, Considine and Macejkovic', 'fraud_Hahn, Douglas and Schowalter', 'fraud_Kuvalis Ltd', 'fraud_Rowe, Batz and Goodwin', 'fraud_Kilback and Sons', 'fraud_Kuphal-Predovic', 'fraud_Hermann and Sons', 'fraud_Fadel-Hilpert', 'fraud_Towne LLC', 'fraud_Zemlak, Tillman and Cremin', 'fraud_Kub PLC', 'fraud_Schuppe LLC', 'fraud_Schuppe-Schuppe', 'fraud_Willms, Kris and Bergnaum', 'fraud_Schroeder, Hauck and Treutel', 'fraud_Hackett-Lueilwitz', 'fraud_Bednar PLC', 'fraud_Labadie LLC', 'fraud_Marvin-Lind', 'fraud_Stamm-Witting', 'fraud_Medhurst Inc', 'fraud_Larkin, Stracke and Greenfelder', 'fraud_Daugherty LLC', 'fraud_Kiehn Inc', 'fraud_Bradtke, Torp and Bahringer', 'fraud_Smitham-Boehm', 'fraud_Boyer-Reichert', 'fraud_Adams-Barrows', 'fraud_Waters-Cruickshank', 'fraud_Hartmann, Rowe and Hermann', 'fraud_Turner, Ziemann and Lehner', 'fraud_Rowe-Vandervort', 'fraud_Ankunding LLC', 'fraud_Heller-Abshire', 'fraud_Balistreri-Nader', 'fraud_Schroeder Group', 'fraud_Greenholt, Jacobi and Gleason', 'fraud_Treutel-King', 'fraud_Raynor, Reinger and Hagenes', 'fraud_Bernier, Streich and Jewess', 'fraud_Medhurst PLC', 'fraud_Kutch-Ferry', 'fraud_Rohan, White and Aufderhar', 'fraud_Quitzon, Green and Bashirian', 'fraud_McCullough Group', 'fraud_Ernser-Lynch', 'fraud_Goldner-Lemke', 'fraud_Champlin and Sons', 'fraud_Bauch-Raynor', 'fraud_Gottlieb-Hansen', 'fraud_Runte-Mohr', 'fraud_Lubowitz, Terry and Stracke', 'fraud_Lynch Ltd', 'fraud_Swift PLC', 'fraud_Abbott-Steuber', 'fraud_Friesen Ltd', 'fraud_Bruen-Yost', 'fraud_Tromp, Kerluke and Glover', 'fraud_Reichel LLC', 'fraud_Monahan, Bogisich and Ledner', 'fraud_Zulauf LLC', 'fraud_Volkman-Predovic', 'fraud_Nader-Heller', 'fraud_Kris-Padberg', 'fraud_McKenzie-Huels', 'fraud_Rau-Grant', 'fraud_Skiles-Ankunding', 'fraud_Volkman Ltd', 'fraud_Watsica, Haag and Considine', 'fraud_Weimann-Lockman', 'fraud_Eichmann, Bogan and Rodriguez', 'fraud_Satterfield-Lowe', 'fraud_Torphy-Kertzmann', 'fraud_Brown-Greenholt', 'fraud_DuBuque LLC', 'fraud_Romaguera, Wehner and Tromp', 'fraud_Labadie, Treutel and Bode', 'fraud_Connelly PLC', 'fraud_Towne, Greenholt and Koepp', 'fraud_Veum-Koelpin', 'fraud_Jewess LLC', 'fraud_Harber Inc', 'fraud_Kertzmann LLC', 'fraud_Berge-Ullrich', 'fraud_Cummerata-Jones', 'fraud_Boehm, Block and Jakubowski', 'fraud_Brekke and Sons', 'fraud_Jerde-Hermann', 'fraud_Little Ltd', 'fraud_Keeling-Crist', 'fraud_Ankunding-Carroll', 'fraud_Ortiz Group', 'fraud_Corwin-Collins', 'fraud_Raynor, Feest and Miller', 'fraud_Roob-Okuneva', 'fraud_Reichert, Huels and Hoppe', 'fraud_Emmerich-Luettgen', 'fraud_Harris, Gusikowski and Heaney', 'fraud_Shanahan-Lehner', 'fraud_Beier-Hyatt', 'fraud_Jast and Sons', 'fraud_Herman Inc', 'fraud_Nicolas, Hills and McGlynn', 'fraud_Flatley Group', 'fraud_Maggio-Fahey', 'fraud_Reichel, Bradtke and Blanda', 'fraud_Kutch, Hermiston and Farrell', 'fraud_Yost, Schamberger and Windler', 'fraud_Beier and Sons', 'fraud_Leannon-Ward', 'fraud_Nader-Maggio', 'fraud_Mosciski, Gislason and Mertz', 'fraud_Altenwerth, Cartwright and Koss', 'fraud_Langworth LLC', 'fraud_Bechtelar-Rippin', 'fraud_Fadel Inc', 'fraud_Schaefer Ltd', 'fraud_Torp-Labadie', 'fraud_Bernhard, Grant and Langworth', 'fraud_Johns-Hoeger', 'fraud_Huels-Hahn', 'fraud_Kerluke-Abshire', 'fraud_Macejkovic-Lesch', 'fraud_Buckridge PLC', 'fraud_Weimann, Kuhic and Beahan', 'fraud_Streich Ltd', 'fraud_Boyer-Haley', 'fraud_Barrows PLC', 'fraud_Lind-Buckridge', 'fraud_Nienow PLC', 'fraud_Stiedemann Inc', 'fraud_Douglas, DuBuque and McKenzie', 'fraud_Lind, Huel and McClure', 'fraud_Conroy, Balistreri and Gorczany', 'fraud_Rolfson-Kunde', 'fraud_Thompson-Gleason', 'fraud_Grimes LLC', 'fraud_Bashirian Group', 'fraud_Denesik, Powlowski and Pouros', 'fraud_Prohaska-Murray', 'fraud_Morissette-Schaefer', 'fraud_Hayes, Marquardt and Dibbert', 'fraud_Connelly-Carter', 'fraud_Reichert, Shanahan and Hayes', 'fraud_Cronin, Kshlerin and Weber', 'fraud_Schulist Ltd', 'fraud_Brown, Homenick and Lesch', 'fraud_Spencer-Runolfsson', 'fraud_Jast-McDermott', 'fraud_Cassin-Harvey', 'fraud_Auer LLC', 'fraud_Kerluke Inc', 'fraud_Auer-Mosciski', 'fraud_Kutch-Hegmann', 'fraud_Pfeffer LLC', 'fraud_Kilback, Nitzsche and Leffler', 'fraud_Jacobi Inc', 'fraud_Bins-Rice', 'fraud_Thiel PLC', 'fraud_Walter, Hettinger and Kessler', 'fraud_Lynch-Mohr', 'fraud_Eichmann-Kilback', 'fraud_Champlin-Casper', 'fraud_Huel, Hammes and Witting', 'fraud_Torp, Muller and Borer', 'fraud_Lakin, Ferry and Beatty', 'fraud_Donnelly LLC', 'fraud_Ernser-Feest', 'fraud_Stanton, Jakubowski and Baumbach', 'fraud_Botsford and Sons', 'fraud_Kihn, Abernathy and Douglas', 'fraud_Schmitt Inc', 'fraud_McDermott-Rice', 'fraud_Herzog Ltd', 'fraud_Kling Inc', 'fraud_Kutch and Sons', 'fraud_Medhurst, Labadie and Gottlieb', 'fraud_Gulgowski LLC', 'fraud_Ruecker, Beer and Collier', 'fraud_Murray-Smitham', 'fraud_Schmitt Ltd', 'fraud_Parisian and Sons', 'fraud_Bednar Inc', 'fraud_Cremin, Hamill and Reichel', 'fraud_Gutmann, McLaughlin and Wiza', 'fraud_Smitham-Schiller', 'fraud_Kuhic Inc', 'fraud_Haag-Blanda', 'fraud_Bahringer, Osinski and Block', 'fraud_Jaskolski-Vandervort', 'fraud_Wuckert, Wintheiser and Friesen', 'fraud_Wolf Inc', 'fraud_Friesen-Stamm', 'fraud_Wisozk and Sons', 'fraud_Goyette, Howell and Collier', 'fraud_Kohler, Lindgren and Koelpin', 'fraud_Hintz, Bauch and Smith', 'fraud_Thiel-Thiel', 'fraud_Reilly and Sons', 'fraud_Schimmel-Olson', 'fraud_Hagenes, Kohler and Hoppe', 'fraud_Kutch Group', 'fraud_Runolfsson and Sons', 'fraud_Kirlin and Sons', 'fraud_Kilback LLC', 'fraud_Konopelski, Schneider and Hartmann', 'fraud_Kutch, Steuber and Gerhold', 'fraud_Paucek-Wiza', 'fraud_Conroy-Cruickshank', 'fraud_Moen, Reinger and Murphy', 'fraud_Berge LLC', 'fraud_Mosciski Group', 'fraud_Brown PLC', 'fraud_Schumm, McLaughlin and Carter', 'fraud_Abshire PLC', 'fraud_Graham, Hegmann and Hammes', 'fraud_Johnston, Nikolaus and Maggio', 'fraud_Wiza LLC', 'fraud_Corwin-Gorczany', 'fraud_Cartwright PLC', 'fraud_Hyatt, Russel and Gleichner', 'fraud_Greenholt Ltd', ""fraud_Lesch, D'Amore and Brown"", 'fraud_Kris-Weimann', 'fraud_Padberg-Welch', 'fraud_Cruickshank-Mills', 'fraud_Hirthe-Beier', 'fraud_Wilkinson Ltd', 'fraud_Heller PLC', 'fraud_Hyatt-Blick', 'fraud_Weber and Sons', 'fraud_Morissette PLC', 'fraud_Kihn-Fritsch', 'fraud_Hahn, Bahringer and McLaughlin', 'fraud_Cummings LLC', 'fraud_Jaskolski-Dibbert', 'fraud_Boehm, Predovic and Reinger', 'fraud_Kihn-Schuster', 'fraud_Upton PLC', 'fraud_Bartoletti-Wunsch', ""fraud_Schamberger-O'Keefe"", 'fraud_Prosacco LLC', 'fraud_Lemke-Gutmann', 'fraud_Rodriguez Group', 'fraud_Roberts, Daniel and Macejkovic', 'fraud_Parker-Kunde', 'fraud_Bins, Balistreri and Beatty', 'fraud_Gottlieb, Considine and Schultz', 'fraud_Pfeffer and Sons', 'fraud_Durgan-Auer', 'fraud_Dickinson-Rempel', 'fraud_Breitenberg LLC', 'fraud_Heller-Langosh', 'fraud_Heller, Gutmann and Zieme', 'fraud_Turner LLC', 'fraud_Jacobi and Sons', 'fraud_Goyette-Gerhold', 'fraud_Wilkinson PLC', 'fraud_Weber, Thiel and Hammes', 'fraud_Feil-Morar', 'fraud_Stokes, Christiansen and Sipes', 'fraud_Feil, Hilpert and Koss', 'fraud_Dare-Marvin', 'fraud_Gutmann Ltd', 'fraud_Stroman, Hudson and Erdman', 'fraud_Lang, Towne and Schuppe', 'fraud_Kunze Inc', 'fraud_Bogisich-Weimann', 'fraud_Windler LLC', 'fraud_Erdman-Kertzmann', ""fraud_O'Connell-Ullrich"", 'fraud_Lockman Ltd', 'fraud_Lockman, West and Runte', 'fraud_Jenkins, Hauck and Friesen', 'fraud_Schoen-Quigley', 'fraud_Nienow, Ankunding and Collier', 'fraud_Mueller, Gerhold and Mueller', 'fraud_Turner and Sons', 'fraud_Kris-Kertzmann', 'fraud_Ratke and Sons', 'fraud_Swift, Bradtke and Marquardt', ""fraud_Pacocha-O'Reilly"", 'fraud_Johnston-Casper', 'fraud_Bogisich-Homenick', 'fraud_Ledner-Pfannerstill', 'fraud_Beier LLC']",[],
True,expect_column_to_exist,category,"('', '')",,,,,,,[],
True,expect_column_values_to_not_be_null,category,"('', '')",,,18153,0,0.0,,[],
True,expect_column_values_to_be_in_set,category,"('', '')",,,18153,0,0.0,"['grocery_pos', 'entertainment', 'gas_transport', 'home', 'health_fitness', 'misc_net', 'travel', 'shopping_pos', 'kids_pets', 'shopping_net', 'personal_care', 'food_dining', 'grocery_net', 'misc_pos']",[],
True,expect_column_to_exist,amt,"('', '')",,,,,,,[],
True,expect_column_values_to_not_be_null,amt,"('', '')",,,18153,0,0.0,,[],
True,expect_column_values_to_be_in_type_list,amt,"('', '')",,,,,,,[],float64
True,expect_column_values_to_be_between,amt,"('', '')",4522.11,1.0,18153,0,0.0,,[],
