chunk,chunk,chunk,chunk,chunk,chunk,chunk,state,state,state,state,gender,gender,gender,gender,city,city,city,city,category,category,category,category,zip,zip,zip,zip
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[0:999],0,0,999,,,analysis,0.10085324683186662,0.25,,False,0.013943135677656298,0.25,,False,0.43610853323723764,0.25,,True,0.04997570501024764,0.25,,False,0.45174369069949033,0.25,,True
[1000:1999],1,1000,1999,,,analysis,0.0900754698018164,0.25,,False,0.01649504693674588,0.25,,False,0.45200182116697635,0.25,,True,0.045332289570723217,0.25,,False,0.4633466984173038,0.25,,True
[2000:2999],2,2000,2999,,,analysis,0.09604316234755587,0.25,,False,0.012241318995434345,0.25,,False,0.456665607721349,0.25,,True,0.04956852999748168,0.25,,False,0.47257493707743886,0.25,,True
[3000:3999],3,3000,3999,,,analysis,0.09580454551318346,0.25,,False,0.009687719565677343,0.25,,False,0.44714906735019105,0.25,,True,0.04643246115312804,0.25,,False,0.4625543895797901,0.25,,True
[4000:4999],4,4000,4999,,,analysis,0.07717543779978554,0.25,,False,0.020746263797626285,0.25,,False,0.4384339601336122,0.25,,True,0.05732103302568036,0.25,,False,0.4536582221002345,0.25,,True
[5000:5999],5,5000,5999,,,analysis,0.11218231900178702,0.25,,False,0.021924833228263087,0.25,,False,0.4439856226537587,0.25,,True,0.041772659199748645,0.25,,False,0.4583981174973803,0.25,,True
[6000:6999],6,6000,6999,,,analysis,0.09956510668018344,0.25,,False,0.011390238810109029,0.25,,False,0.4412731511059508,0.25,,True,0.044076987584194253,0.25,,False,0.4542381069089815,0.25,,True
[7000:7999],7,7000,7999,,,analysis,0.11174493999267414,0.25,,False,0.014211116037690782,0.25,,False,0.4249880767895014,0.25,,True,0.060806993637993946,0.25,,False,0.44366438818047077,0.25,,True
[8000:8999],8,8000,8999,,,analysis,0.08622421197494147,0.25,,False,0.009933279146879685,0.25,,False,0.4452744437195017,0.25,,True,0.06203412648880656,0.25,,False,0.46225459976484284,0.25,,True
[9000:9999],9,9000,9999,,,analysis,0.11038566247187435,0.25,,False,0.011643804027792854,0.25,,False,0.44661635907644776,0.25,,True,0.05217025999163407,0.25,,False,0.4604305287621385,0.25,,True
[10000:10999],10,10000,10999,,,analysis,0.09278500845464728,0.25,,False,0.002245251857014235,0.25,,False,0.43427204050721746,0.25,,True,0.061065957919119326,0.25,,False,0.4486589297102191,0.25,,True
[11000:11999],11,11000,11999,,,analysis,0.10706292720997214,0.25,,False,0.0013919068700262859,0.25,,False,0.4449462940615054,0.25,,True,0.04813886543597244,0.25,,False,0.4621424748588095,0.25,,True
[12000:12999],12,12000,12999,,,analysis,0.11804403477215208,0.25,,False,0.013943135677656298,0.25,,False,0.4406668853542936,0.25,,True,0.04141290838434772,0.25,,False,0.45515847831926953,0.25,,True
[13000:13999],13,13000,13999,,,analysis,0.09315587213262175,0.25,,False,0.00031429229748618773,0.25,,False,0.44618143492113665,0.25,,True,0.051734799128712754,0.25,,False,0.46446724145030854,0.25,,True
[14000:14999],14,14000,14999,,,analysis,0.08876072425089096,0.25,,False,0.028393327418806465,0.25,,False,0.4321354746200145,0.25,,True,0.04927758754691171,0.25,,False,0.44824218601415255,0.25,,True
[15000:15999],15,15000,15999,,,analysis,0.09382046676993396,0.25,,False,0.012241318995434345,0.25,,False,0.4321541435992372,0.25,,True,0.05518866930155203,0.25,,False,0.4492128266585009,0.25,,True
[16000:16999],16,16000,16999,,,analysis,0.105734829643697,0.25,,False,0.01935154407022387,0.25,,False,0.43868715971209177,0.25,,True,0.0580000156863203,0.25,,False,0.4537142798570179,0.25,,True
[17000:17999],17,17000,17999,,,analysis,0.09863364144336693,0.25,,False,0.026694465578980277,0.25,,False,0.43455295540048544,0.25,,True,0.037559145469478805,0.25,,False,0.4485835023228337,0.25,,True
[18000:18152],18,18000,18152,,,analysis,0.20717121411328077,0.25,,False,0.003312558825451412,0.25,,False,0.7729459644215231,0.25,,True,0.13562685266088917,0.25,,False,0.7867290372959184,0.25,,True
