Success,Expectation Type,Column,Column Pair,Max Value,Min Value,Element Count,Unexpected Count,Unexpected Percent,Value Set,Unexpected Value,Observed Value
True,expect_column_to_exist,merchant,"('', '')",,,,,,,[],
True,expect_column_values_to_not_be_null,merchant,"('', '')",,,18153,0,0.0,,[],
True,expect_column_values_to_be_in_set,merchant,"('', '')",,,18153,0,0.0,"['fraud_Reilly and Sons', 'fraud_Champlin, Rolfson and Connelly', 'fraud_Treutel-King', 'fraud_Goyette-Gerhold', 'fraud_Jerde-Hermann', 'fraud_Kling, Howe and Schneider', 'fraud_Goldner-Lemke', 'fraud_Haley Group', 'fraud_Flatley-Durgan', 'fraud_Bogisich Inc', 'fraud_Pouros-Haag', 'fraud_Miller-Harris', 'fraud_Kutch-Wilderman', 'fraud_Hagenes, Hermann and Stroman', 'fraud_Lynch-Wisozk', 'fraud_Abbott-Rogahn', 'fraud_Nader-Maggio', 'fraud_Stamm-Rodriguez', 'fraud_Parisian, Schiller and Altenwerth', 'fraud_Turcotte, Batz and Buckridge', 'fraud_Abshire PLC', 'fraud_Nienow, Barrows and Romaguera', 'fraud_Breitenberg-Hermiston', 'fraud_Huels-Hahn', 'fraud_Rohan, White and Aufderhar', 'fraud_Schaefer Ltd', 'fraud_Bernier and Sons', 'fraud_Dickinson Ltd', 'fraud_Wiza, Schaden and Stark', 'fraud_Runte, Green and Emard', 'fraud_Lang, Towne and Schuppe', 'fraud_Shanahan-Lehner', 'fraud_Kuphal-Bartoletti', 'fraud_Heathcote LLC', 'fraud_Haley, Batz and Auer', 'fraud_Towne LLC', 'fraud_Schoen, Nienow and Bauch', 'fraud_Turcotte, McKenzie and Koss', 'fraud_Reichel LLC', 'fraud_Terry-Huel', 'fraud_Johns Inc', 'fraud_Gerhold LLC', 'fraud_Brown Inc', 'fraud_Mosciski, Ziemann and Farrell', 'fraud_Durgan, Gislason and Spencer', 'fraud_Hintz, Bauch and Smith', 'fraud_Mante, Luettgen and Hackett', 'fraud_Kiehn-Emmerich', 'fraud_Daugherty LLC', 'fraud_Marvin-Lind', 'fraud_Okuneva, Schneider and Rau', 'fraud_Schiller Ltd', 'fraud_Hilpert-Conroy', 'fraud_Graham and Sons', 'fraud_Huel Ltd', 'fraud_Cruickshank-Mills', 'fraud_Fadel, Mertz and Rippin', 'fraud_Stiedemann Inc', 'fraud_Hyatt, Russel and Gleichner', 'fraud_Prosacco, Kreiger and Kovacek', 'fraud_Eichmann, Bogan and Rodriguez', 'fraud_Mueller, Gerhold and Mueller', 'fraud_Lehner, Mosciski and King', 'fraud_Williamson LLC', 'fraud_Weimann, Kuhic and Beahan', 'fraud_Welch, Rath and Koepp', 'fraud_Wisozk and Sons', 'fraud_Boyer-Reichert', 'fraud_Hills-Olson', 'fraud_Gulgowski LLC', 'fraud_Morissette-Schaefer', 'fraud_Reichel, Bradtke and Blanda', 'fraud_Witting, Beer and Ernser', 'fraud_Erdman-Durgan', 'fraud_McDermott, Osinski and Morar', 'fraud_Mohr-Bayer', 'fraud_Kessler Group', 'fraud_Schaefer, McGlynn and Bosco', 'fraud_Eichmann-Russel', 'fraud_McCullough, Hudson and Schuster', 'fraud_Cummerata-Hilpert', 'fraud_Volkman PLC', 'fraud_Robel, Cummerata and Prosacco', 'fraud_Friesen Inc', 'fraud_Altenwerth, Cartwright and Koss', 'fraud_Ratke and Sons', 'fraud_Luettgen PLC', 'fraud_Nitzsche, Kessler and Wolff', 'fraud_Goyette-Herzog', 'fraud_McCullough LLC', 'fraud_Larkin, Stracke and Greenfelder', 'fraud_Kassulke PLC', 'fraud_Ferry, Lynch and Kautzer', 'fraud_Bednar Inc', 'fraud_Parker, Nolan and Trantow', 'fraud_Dibbert-Green', 'fraud_Wilkinson Ltd', 'fraud_Conroy-Emard', 'fraud_Mraz-Herzog', 'fraud_Koepp-Parker', 'fraud_Corwin-Romaguera', 'fraud_Jast and Sons', 'fraud_Bernhard, Grant and Langworth', 'fraud_Pouros-Conroy', 'fraud_Schneider, Hayes and Nikolaus', 'fraud_Runolfsdottir, Mueller and Hand', 'fraud_Reichel Inc', 'fraud_Schoen Ltd', 'fraud_Gleason and Sons', 'fraud_Trantow PLC', 'fraud_Doyle Ltd', 'fraud_Rolfson-Kunde', 'fraud_Watsica LLC', 'fraud_Stamm-Witting', 'fraud_Beer-Jast', 'fraud_Zulauf LLC', 'fraud_Kozey-Boehm', 'fraud_Crona and Sons', 'fraud_Feil-Morar', 'fraud_Jakubowski Group', 'fraud_Ritchie, Oberbrunner and Cremin', 'fraud_White and Sons', 'fraud_Champlin and Sons', 'fraud_Kovacek Ltd', 'fraud_Kling Inc', 'fraud_Huels-Nolan', 'fraud_Emmerich-Rau', 'fraud_Emmerich-Luettgen', 'fraud_Moore, Dibbert and Koepp', 'fraud_Herman, Treutel and Dickens', 'fraud_Kutch Group', 'fraud_Brekke and Sons', 'fraud_Labadie, Treutel and Bode', 'fraud_Greenfelder, Bartoletti and Davis', 'fraud_Kerluke, Kertzmann and Wiza', 'fraud_Kling-Grant', 'fraud_Little, Gutmann and Lynch', 'fraud_Eichmann, Hayes and Treutel', 'fraud_Ziemann-Waters', 'fraud_VonRueden Group', 'fraud_Hintz-Bruen', 'fraud_Homenick LLC', 'fraud_Block-Parisian', 'fraud_Predovic Inc', 'fraud_Rutherford, Homenick and Bergstrom', 'fraud_Heller-Langosh', 'fraud_Thompson-Gleason', ""fraud_O'Connell, Botsford and Hand"", 'fraud_Romaguera, Wehner and Tromp', 'fraud_Carroll PLC', 'fraud_Monahan, Hermann and Johns', 'fraud_Abernathy and Sons', 'fraud_Abbott-Steuber', 'fraud_Ankunding LLC', 'fraud_Torp-Labadie', 'fraud_Bernier, Volkman and Hoeger', 'fraud_Osinski, Ledner and Leuschke', 'fraud_Hills-Witting', 'fraud_Dare-Marvin', 'fraud_Heller PLC', 'fraud_Balistreri-Nader', 'fraud_Heathcote, Yost and Kertzmann', 'fraud_Romaguera and Sons', 'fraud_Reichert, Huels and Hoppe', 'fraud_Veum-Koelpin', 'fraud_Jenkins, Hauck and Friesen', 'fraud_Schmeler Inc', 'fraud_Bogisich-Weimann', 'fraud_Auer-West', 'fraud_Towne, Greenholt and Koepp', 'fraud_Simonis-Prohaska', 'fraud_Stiedemann Ltd', 'fraud_Frami Group', 'fraud_Halvorson Group', 'fraud_Beier-Hyatt', 'fraud_Kunze, Larkin and Mayert', 'fraud_Kulas Group', 'fraud_Dickinson-Rempel', 'fraud_Rippin, Kub and Mann', 'fraud_Wiza LLC', 'fraud_Swaniawski, Bahringer and Ledner', 'fraud_Lakin, Ferry and Beatty', 'fraud_Larson-Moen', 'fraud_Reynolds-Schinner', 'fraud_Schmeler-Howe', 'fraud_Romaguera, Cruickshank and Greenholt', 'fraud_Hermiston, Russel and Price', 'fraud_Schroeder, Hauck and Treutel', 'fraud_Bauch-Blanda', 'fraud_Ernser-Feest', 'fraud_Block Group', 'fraud_Satterfield-Lowe', 'fraud_Rowe-Vandervort', 'fraud_Schmidt and Sons', 'fraud_Boehm, Predovic and Reinger', 'fraud_Hermiston, Pacocha and Smith', 'fraud_Dicki Ltd', 'fraud_Hermann and Sons', 'fraud_Hermann-Gaylord', 'fraud_Boyer-Haley', 'fraud_Shields Inc', 'fraud_Bins-Howell', 'fraud_Cassin-Harvey', 'fraud_Bernhard-Lesch', 'fraud_Rodriguez, Yost and Jenkins', 'fraud_Kuhic Inc', 'fraud_Auer LLC', 'fraud_Casper, Hand and Zulauf', 'fraud_Lehner, Reichert and Mills', 'fraud_Runte-Mohr', 'fraud_Daugherty, Pouros and Beahan', 'fraud_McDermott-Rice', 'fraud_Moen, Reinger and Murphy', 'fraud_Reichert-Weissnat', 'fraud_Swift, Bradtke and Marquardt', 'fraud_Jewess LLC', 'fraud_Kuphal-Predovic', 'fraud_Schroeder Group', 'fraud_Auer-Mosciski', 'fraud_Volkman-Predovic', 'fraud_Yost-Rogahn', 'fraud_Herman Inc', 'fraud_Flatley Group', 'fraud_Stracke-Lemke', 'fraud_Tromp Group', ""fraud_Greenholt, O'Hara and Balistreri"", 'fraud_Hauck, Dietrich and Funk', 'fraud_Kunde-Sanford', 'fraud_Conroy Ltd', 'fraud_Jaskolski-Dibbert', 'fraud_Quitzon, Green and Bashirian', 'fraud_Goyette Inc', 'fraud_Ernser-Lynch', 'fraud_Kutch and Sons', 'fraud_Hartmann, Rowe and Hermann', 'fraud_Nienow PLC', 'fraud_Maggio-Fahey', 'fraud_Fahey Inc', 'fraud_Wilkinson LLC', 'fraud_Prohaska-Murray', 'fraud_Brown, Homenick and Lesch', 'fraud_Windler LLC', 'fraud_Connelly-Carter', 'fraud_Mosciski, Gislason and Mertz', 'fraud_Lebsack and Sons', 'fraud_Pacocha-Weissnat', 'fraud_Monahan-Morar', 'fraud_Kerluke, Considine and Macejkovic', 'fraud_Haag-Blanda', 'fraud_Hudson-Ratke', 'fraud_Thiel-Thiel', 'fraud_Bins-Tillman', 'fraud_McGlynn-Jaskolski', 'fraud_Bernier, Streich and Jewess', 'fraud_Roberts-Beahan', 'fraud_Huel, Hammes and Witting', 'fraud_Nolan-Williamson', 'fraud_Harris, Gusikowski and Heaney', 'fraud_Brown-Greenholt', 'fraud_Pagac LLC', 'fraud_Rempel PLC', 'fraud_Kihn, Brakus and Goyette', 'fraud_Kertzmann LLC', 'fraud_Shields-Wunsch', 'fraud_Tillman, Dickinson and Labadie', 'fraud_Boyer PLC', 'fraud_Bartoletti-Wunsch', 'fraud_Dare-Gibson', 'fraud_Bashirian Group', 'fraud_Kilback LLC', 'fraud_Hackett Group', 'fraud_Runolfsson and Sons', ""fraud_O'Hara-Wilderman"", 'fraud_Padberg-Welch', 'fraud_Macejkovic-Lesch', 'fraud_Kris-Kertzmann', 'fraud_Koelpin and Sons', 'fraud_Little-Gleichner', 'fraud_Weimann-Lockman', 'fraud_Vandervort-Funk', 'fraud_Greenholt Ltd', 'fraud_Crist, Jakubowski and Littel', 'fraud_Klocko, Runolfsdottir and Breitenberg', 'fraud_Kutch-Hegmann', 'fraud_Fisher-Schowalter', 'fraud_Nicolas, Hills and McGlynn', 'fraud_Ruecker-Mayert', ""fraud_Hamill-D'Amore"", 'fraud_Swaniawski, Lowe and Robel', 'fraud_Schmitt Ltd', 'fraud_Fadel Inc', 'fraud_Hahn, Bahringer and McLaughlin', 'fraud_Pfeffer LLC', 'fraud_Koss, McLaughlin and Mayer', 'fraud_Dare, Casper and Bartoletti', 'fraud_Schuppe LLC', 'fraud_Upton PLC', 'fraud_Metz-Boehm', 'fraud_Wintheiser, Dietrich and Schimmel', 'fraud_Erdman-Kertzmann', 'fraud_Morissette LLC', 'fraud_Raynor, Feest and Miller', 'fraud_Dietrich-Fadel', 'fraud_Roob, Conn and Tremblay', 'fraud_Douglas-White', 'fraud_Champlin-Casper', 'fraud_Kuhn LLC', 'fraud_Miller-Hauck', 'fraud_Tillman LLC', 'fraud_Collier Inc', 'fraud_Baumbach, Strosin and Nicolas', 'fraud_Hills, Hegmann and Schaefer', 'fraud_Emard Inc', 'fraud_Towne, Walker and Borer', ""fraud_O'Reilly, Mohr and Purdy"", 'fraud_Waelchi-Wolf', 'fraud_Powlowski-Weimann', 'fraud_Bode-Rempel', 'fraud_Schumm, McLaughlin and Carter', 'fraud_Gerlach Inc', 'fraud_Romaguera Ltd', 'fraud_Connelly PLC', 'fraud_Pfeffer and Sons', 'fraud_Kihn-Schuster', 'fraud_Turner LLC', 'fraud_Lynch-Mohr', 'fraud_Boehm, Block and Jakubowski', 'fraud_Wuckert-Goldner', 'fraud_Hudson-Grady', 'fraud_Turner, Ziemann and Lehner', 'fraud_Kihn-Fritsch', 'fraud_Yost, Schamberger and Windler', 'fraud_Turcotte-Halvorson', 'fraud_Weber, Thiel and Hammes', 'fraud_Tromp, Kerluke and Glover', 'fraud_Lynch Ltd', 'fraud_Dooley-Thompson', 'fraud_Volkman Ltd', 'fraud_Kub-Heaney', 'fraud_Graham, Hegmann and Hammes', 'fraud_Turner and Sons', 'fraud_Donnelly LLC', 'fraud_Christiansen-Gusikowski', 'fraud_Dare, Fritsch and Zboncak', 'fraud_Walter, Hettinger and Kessler', 'fraud_Haley, Jewess and Bechtelar', 'fraud_Mosciski Group', 'fraud_Kling-Ernser', 'fraud_Kemmer-Reinger', 'fraud_Olson, Becker and Koch', 'fraud_Fritsch and Sons', 'fraud_Lesch Ltd', 'fraud_Schmidt-Larkin', 'fraud_DuBuque LLC', ""fraud_O'Keefe-Hudson"", 'fraud_Lubowitz, Terry and Stracke', 'fraud_Sawayn PLC', 'fraud_Cole, Hills and Jewess', 'fraud_Botsford and Sons', 'fraud_Skiles-Ankunding', 'fraud_Ebert-Daugherty', 'fraud_Hodkiewicz, Prohaska and Paucek', 'fraud_Goodwin-Nitzsche', 'fraud_Schaefer, Fay and Hilll', 'fraud_Johnston, Nikolaus and Maggio', 'fraud_Block-Hauck', 'fraud_Berge-Ullrich', 'fraud_Stokes, Christiansen and Sipes', 'fraud_Dach-Nader', 'fraud_Pacocha-Bauch', 'fraud_Parker-Kunde', 'fraud_Padberg-Sauer', 'fraud_Funk Group', 'fraud_Zieme, Bode and Dooley', 'fraud_Osinski Inc', 'fraud_Stehr, Jewess and Schimmel', 'fraud_Watsica, Haag and Considine', 'fraud_McDermott-Weimann', 'fraud_Heaney-Marquardt', 'fraud_Keeling-Crist', 'fraud_Friesen-Ortiz', 'fraud_Smitham-Boehm', 'fraud_Strosin-Cruickshank', 'fraud_Quitzon-Goyette', 'fraud_Bahringer-Larson', 'fraud_Dibbert and Sons', 'fraud_Renner Ltd', 'fraud_Welch Inc', 'fraud_Hirthe-Beier', 'fraud_Kozey-McDermott', 'fraud_Rutherford-Mertz', 'fraud_Lind, Huel and McClure', 'fraud_Harris Group', 'fraud_Bins, Balistreri and Beatty', 'fraud_Klocko LLC', 'fraud_Cremin, Hamill and Reichel', 'fraud_Wiegand-Lowe', 'fraud_Denesik, Powlowski and Pouros', 'fraud_Bradtke, Torp and Bahringer', 'fraud_Becker, Harris and Harvey', 'fraud_Erdman-Schaden', 'fraud_Barton LLC', 'fraud_Medhurst, Labadie and Gottlieb', 'fraud_Bahringer, Bergnaum and Quitzon', 'fraud_Gottlieb-Hansen', 'fraud_Kautzer and Sons', 'fraud_Bahringer-Streich', 'fraud_Willms, Kris and Bergnaum', 'fraud_Denesik and Sons', 'fraud_Eichmann-Kilback', 'fraud_Berge LLC', 'fraud_Schiller, Blanda and Johnson', 'fraud_Lemke-Gutmann', 'fraud_Kunze Inc', 'fraud_Weber and Sons', 'fraud_Larkin Ltd', 'fraud_Sporer-Keebler', 'fraud_Langworth, Boehm and Gulgowski', 'fraud_Gaylord-Powlowski', 'fraud_Price Inc', 'fraud_Hagenes, Kohler and Hoppe', 'fraud_Schroeder, Wolff and Hermiston', 'fraud_Johns-Hoeger', 'fraud_Ledner, Hartmann and Feest', 'fraud_Murray-Smitham', 'fraud_Collier LLC', 'fraud_Jacobi and Sons', 'fraud_Ferry, Reichel and DuBuque', 'fraud_Klein Group', 'fraud_Schoen, Kuphal and Nitzsche', 'fraud_Rau-Robel', 'fraud_Waters-Cruickshank', 'fraud_Schmeler, Bashirian and Price', 'fraud_Friesen Ltd', 'fraud_Corwin-Collins', 'fraud_Jast Ltd', 'fraud_Schumm PLC', ""fraud_O'Connell-Ullrich"", 'fraud_Wuckert, Wintheiser and Friesen', 'fraud_Bruen-Yost', 'fraud_Ledner-Pfannerstill', 'fraud_Kuhic LLC', 'fraud_Schultz, Simonis and Little', 'fraud_Roberts, Daniel and Macejkovic', 'fraud_Roob LLC', 'fraud_Heller, Gutmann and Zieme', 'fraud_Kutch LLC', 'fraud_Heidenreich PLC', 'fraud_Breitenberg LLC', 'fraud_Hettinger, McCullough and Fay', 'fraud_Torp-Lemke', 'fraud_Kihn Inc', 'fraud_Kovacek, Dibbert and Ondricka', 'fraud_Fritsch LLC', 'fraud_Schuppe-Schuppe', 'fraud_Stark-Batz', 'fraud_McCullough Group', 'fraud_Feil, Hilpert and Koss', 'fraud_Rowe, Batz and Goodwin', 'fraud_Stroman, Hudson and Erdman', 'fraud_Kutch, Hermiston and Farrell', 'fraud_Wolf Inc', 'fraud_Herzog Ltd', 'fraud_Dach-Borer', 'fraud_Hamill-Daugherty', 'fraud_Hoppe, Harris and Bednar', 'fraud_Douglas, Schneider and Turner', 'fraud_Hickle Group', 'fraud_Hahn, Douglas and Schowalter', 'fraud_Morissette PLC', 'fraud_McGlynn-Heathcote', 'fraud_Lubowitz-Walter', 'fraud_Goyette, Howell and Collier', 'fraud_Little Ltd', ""fraud_Friesen-D'Amore"", 'fraud_Murray Ltd', 'fraud_Windler, Goodwin and Kovacek', 'fraud_Botsford PLC', 'fraud_Bode-Schuster', 'fraud_Lowe, Dietrich and Erdman', 'fraud_Kemmer-Buckridge', 'fraud_Stark-Koss', 'fraud_Jones, Sawayn and Romaguera', 'fraud_Ankunding-Carroll', 'fraud_Bogisich-Homenick', 'fraud_Paucek-Wiza', 'fraud_Will Ltd', 'fraud_Terry, Johns and Bins', 'fraud_Streich, Rolfson and Wilderman', 'fraud_Connelly, Reichert and Fritsch', 'fraud_Wilkinson PLC', 'fraud_Spinka Inc', 'fraud_Conroy, Balistreri and Gorczany', 'fraud_Mante Group', 'fraud_Harris Inc', 'fraud_Howe Ltd', 'fraud_Lind-Buckridge', 'fraud_Metz, Russel and Metz', 'fraud_Koss and Sons', 'fraud_Torphy-Kertzmann', 'fraud_Prosacco LLC', 'fraud_Bauch-Raynor', 'fraud_Goldner, Kovacek and Abbott', 'fraud_Rempel Inc', 'fraud_Morissette, Weber and Wiegand', 'fraud_Roob-Okuneva', 'fraud_Parisian and Sons', 'fraud_Bednar PLC', 'fraud_Kutch, Steuber and Gerhold', 'fraud_Kuhn Group', 'fraud_Armstrong, Walter and Gottlieb', 'fraud_Nienow, Ankunding and Collier', 'fraud_Smith-Stokes', 'fraud_Huel-Langworth', 'fraud_Baumbach, Hodkiewicz and Walsh', 'fraud_Kerluke PLC', 'fraud_Barrows PLC', 'fraud_Gleason-Macejkovic', 'fraud_Gottlieb Group', 'fraud_Beier and Sons', 'fraud_Hackett-Lueilwitz', 'fraud_Hoppe-Parisian', 'fraud_Mayert Group', 'fraud_McLaughlin, Armstrong and Koepp', 'fraud_Bernhard Inc', 'fraud_Fadel-Hilpert', 'fraud_Fisher Inc', 'fraud_Ritchie, Bradtke and Stiedemann', 'fraud_Lockman Ltd', ""fraud_Schamberger-O'Keefe"", 'fraud_Torp, Muller and Borer', ""fraud_Deckow-O'Conner"", 'fraud_Reilly, Heaney and Cole', 'fraud_Labadie LLC', 'fraud_Kilback, Nitzsche and Leffler', 'fraud_Gutmann-Upton', 'fraud_Marks Inc', 'fraud_Padberg-Rogahn', 'fraud_Medhurst PLC', 'fraud_Nader-Heller', 'fraud_Reilly LLC', 'fraud_Cormier LLC', ""fraud_O'Keefe-Wisoky"", 'fraud_Bailey-Morar', 'fraud_Yost, Block and Koepp', 'fraud_Smitham-Schiller', 'fraud_Adams, Kovacek and Kuhlman', 'fraud_Kozey-Kuhlman', 'fraud_Grimes LLC', 'fraud_Reichert, Shanahan and Hayes', 'fraud_Adams-Barrows', 'fraud_Roberts, Ryan and Smith', 'fraud_Leannon-Ward', 'fraud_Stoltenberg-Beatty', 'fraud_Langosh, Wintheiser and Hyatt', 'fraud_Dooley Inc', 'fraud_Leannon-Nikolaus', 'fraud_Bradtke PLC', 'fraud_Kassulke Inc', 'fraud_Swaniawski, Nitzsche and Welch', 'fraud_Cummings Group', 'fraud_Cartwright-Harris', 'fraud_Gibson-Deckow', 'fraud_Jaskolski-Vandervort', 'fraud_Hayes, Marquardt and Dibbert', 'fraud_Reichert, Rowe and Mraz', 'fraud_Corwin-Gorczany', 'fraud_Schoen-Quigley', 'fraud_Rau-Grant', 'fraud_Gutmann Ltd', 'fraud_Schulist Ltd', 'fraud_Konopelski, Schneider and Hartmann', 'fraud_Donnelly PLC', 'fraud_Streich, Dietrich and Barton', 'fraud_Turner, Ruecker and Parisian', 'fraud_Pouros, Walker and Spencer', 'fraud_Kris-Padberg', ""fraud_Pacocha-O'Reilly"", 'fraud_Botsford Ltd', 'fraud_Spencer-Runolfsson', 'fraud_Gislason Group', 'fraud_Sporer Inc', 'fraud_Spencer PLC', 'fraud_Schmitt Inc', 'fraud_Reinger, Weissnat and Strosin', 'fraud_Zemlak, Tillman and Cremin', 'fraud_Bahringer Group', 'fraud_Kuphal-Toy', 'fraud_Kutch-Ferry', 'fraud_Schaefer, Maggio and Daugherty', 'fraud_Cormier, Stracke and Thiel', 'fraud_Zemlak Group', 'fraud_Zboncak, Rowe and Murazik', 'fraud_Harber Inc', 'fraud_Cummerata-Jones', 'fraud_Bins-Rice', 'fraud_Kirlin and Sons', 'fraud_Jakubowski Inc', 'fraud_Berge-Hills', 'fraud_Medhurst, Cartwright and Ebert', 'fraud_Wuckert-Walter', 'fraud_Spinka-Welch', 'fraud_Jast-McDermott', 'fraud_Zboncak LLC', 'fraud_Kohler, Lindgren and Koelpin', 'fraud_Rodriguez Group', 'fraud_Bednar Group', 'fraud_Durgan-Auer', 'fraud_Hyatt-Blick', 'fraud_Bechtelar-Rippin', 'fraud_Deckow-Dare', 'fraud_Kerluke Inc', 'fraud_Swift PLC', 'fraud_Cartwright PLC', 'fraud_Berge, Kautzer and Harris', 'fraud_Skiles LLC', 'fraud_Koss, Hansen and Lueilwitz', 'fraud_Friesen-Stamm', 'fraud_Stanton, Jakubowski and Baumbach', 'fraud_Daugherty-Thompson', 'fraud_Baumbach Ltd', 'fraud_Kessler Inc', 'fraud_Rippin-VonRueden', 'fraud_Conroy-Cruickshank', 'fraud_Ortiz Group', 'fraud_Hills-Boyer', 'fraud_Gutmann, McLaughlin and Wiza', 'fraud_Baumbach, Feeney and Morar', 'fraud_Beier LLC', 'fraud_Ruecker, Beer and Collier', 'fraud_Greenholt, Jacobi and Gleason', 'fraud_Kris-Weimann', 'fraud_Streich Ltd', 'fraud_Schumm, Bauch and Ondricka', 'fraud_Pollich LLC', 'fraud_Bartoletti and Sons', 'fraud_Morar Inc', 'fraud_Altenwerth-Kilback', 'fraud_Kiehn Inc', 'fraud_Johnston-Casper', 'fraud_Heller-Abshire', 'fraud_Lemke and Sons', 'fraud_Zboncak Ltd', 'fraud_Kerluke-Abshire', 'fraud_Jacobi Inc', 'fraud_Gottlieb, Considine and Schultz', 'fraud_Barton Inc', 'fraud_Monahan, Bogisich and Ledner', 'fraud_Erdman-Ebert', 'fraud_Bahringer, Schoen and Corkery', 'fraud_Howe PLC', 'fraud_Streich, Hansen and Veum', 'fraud_Torphy-Goyette', 'fraud_Tillman, Fritsch and Schmitt', 'fraud_Schimmel-Olson', 'fraud_Johnson, Runolfsdottir and Mayer', 'fraud_Raynor, Reinger and Hagenes', 'fraud_Kilback and Sons', 'fraud_Lockman, West and Runte', 'fraud_Effertz, Welch and Schowalter', 'fraud_Langworth LLC', 'fraud_Leffler-Goldner', 'fraud_Kilback Group', 'fraud_Hammes-Beatty', 'fraud_Larson, Quitzon and Spencer', 'fraud_Terry Ltd', 'fraud_Kuvalis Ltd', 'fraud_Waelchi Inc', 'fraud_Effertz LLC', 'fraud_McKenzie-Huels', 'fraud_Buckridge PLC', ""fraud_Lesch, D'Amore and Brown"", 'fraud_Cronin, Kshlerin and Weber', 'fraud_Mohr Inc', 'fraud_Medhurst Inc', 'fraud_Kub PLC', 'fraud_Schuppe, Nolan and Hoeger', 'fraud_Cole PLC', 'fraud_Thiel Ltd', 'fraud_Thiel PLC', 'fraud_Bahringer, Osinski and Block', 'fraud_Douglas, DuBuque and McKenzie', 'fraud_Rau and Sons', 'fraud_Kuhic, Bins and Pfeffer', 'fraud_Ruecker Group', 'fraud_Moore, Williamson and Emmerich', 'fraud_Ullrich Ltd', 'fraud_Brown PLC', 'fraud_Crooks and Sons', 'fraud_Kihn, Abernathy and Douglas', 'fraud_Cummings LLC', 'fraud_Christiansen, Goyette and Schamberger', 'fraud_Koepp-Witting']",[],
True,expect_column_to_exist,category,"('', '')",,,,,,,[],
True,expect_column_values_to_not_be_null,category,"('', '')",,,18153,0,0.0,,[],
True,expect_column_values_to_be_in_set,category,"('', '')",,,18153,0,0.0,"['grocery_pos', 'kids_pets', 'grocery_net', 'travel', 'misc_pos', 'home', 'shopping_net', 'entertainment', 'gas_transport', 'food_dining', 'health_fitness', 'misc_net', 'shopping_pos', 'personal_care']",[],
True,expect_column_to_exist,amt,"('', '')",,,,,,,[],
True,expect_column_values_to_not_be_null,amt,"('', '')",,,18153,0,0.0,,[],
True,expect_column_values_to_be_in_type_list,amt,"('', '')",,,,,,,[],float64
True,expect_column_values_to_be_between,amt,"('', '')",4522.11,1.0,18153,0,0.0,,[],
